"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7xDG0n0W0AV7oryFZes8rF","я люблю тебя давно","spotify:artist:0a3zDmrvmZcORfPeONPvfL","Rauf & Faik","spotify:album:5XOg6BmabihxVkkztDv8iS","я люблю тебя давно","spotify:artist:0a3zDmrvmZcORfPeONPvfL","Rauf & Faik","2019-11-26","https://i.scdn.co/image/ab67616d0000b27357682f869781a78c088f834b","1","1","214430","https://p.scdn.co/mp3-preview/ca8fb043614ca43762bff2c65390e3a120c79742?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","RUA582103546","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:6DMuMv4IzCpRo6zGTwkbW5","Положение - 2 Remix","spotify:artist:5yVvIOuHDlJezNO90ohWNA","Dior","spotify:album:7G1v8X3tA5IAyUPjVRTaph","Положение (2 Remix)","spotify:artist:5yVvIOuHDlJezNO90ohWNA","Dior","2020-06-23","https://i.scdn.co/image/ab67616d0000b273d116664ad3065c19c3c7f4b3","1","1","129410","https://p.scdn.co/mp3-preview/dcb8b15d3b82e9273e123cf11181be159a58780d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","RUA1D2130055","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:2j3nHmvWSDkZ7jJT05nDH5","Da Da Da","spotify:artist:78bw0aIvuMJSPxeWPYtGNz","Tanir & Tyomcha","spotify:album:6GFuhFy4JpA8wKZDfpR92a","До мурашек","spotify:artist:78bw0aIvuMJSPxeWPYtGNz","Tanir & Tyomcha","2020-05-15","https://i.scdn.co/image/ab67616d0000b2737e925c21c39fd08e3c9f3471","1","2","198000","https://p.scdn.co/mp3-preview/d8a5ce93dc61c41da4d60b401271104c2815e2d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","FR96X1913765","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:33NV32OifRzOpfl5tjZQNh","Resurrection","spotify:artist:6aTmUexSbRbZS83XVfCHcF","GANK","spotify:album:03SwFWwM6W1nNTHSNo7qpZ","Resurrection","spotify:artist:6aTmUexSbRbZS83XVfCHcF","GANK","2019-10-10","https://i.scdn.co/image/ab67616d0000b273e0d8bbae381b55adcc615229","1","1","143894","","false","3","TCAEL1992513","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:2nLeVfLE8t3hzHhXkZ6Ez2","La Câlin","spotify:artist:1R2iRWvuwwokMKGHirNGTD","Serhat Durmus","spotify:album:3ME8PxSnIu3dwxdCgoP4KF","La Câlin","spotify:artist:1R2iRWvuwwokMKGHirNGTD","Serhat Durmus","2017-04-10","https://i.scdn.co/image/ab67616d0000b273d1937fa91b1713b86fa1f225","1","1","172008","https://p.scdn.co/mp3-preview/90acfd9c8cda590defbd3602b64d64885940d6d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","TCADI1715361","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:2MX5LM5RFnYoFPRO3mehfG","Без тебя я не я","spotify:artist:2ISiyx4DLCMAMBCvPesCoq, spotify:artist:6o7TsOGOEF5Mqpiz2KCyWE","JONY, HammAli & Navai","spotify:album:50MtpBm9kknAYEwyzj4obo","Список твоих мыслей","spotify:artist:2ISiyx4DLCMAMBCvPesCoq","JONY","2019-06-21","https://i.scdn.co/image/ab67616d0000b273b461ea676b6c3858ce862de9","1","5","200689","https://p.scdn.co/mp3-preview/a160fd6d4420698d153a6441373c7f0b8051bfa2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR2X41939921","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:3hRMlpsBV8yC3kfRxVWBsX","колыбельная","spotify:artist:0a3zDmrvmZcORfPeONPvfL","Rauf & Faik","spotify:album:0gT3PU5tbkhg0U1X3VPGO6","колыбельная","spotify:artist:0a3zDmrvmZcORfPeONPvfL","Rauf & Faik","2019-12-06","https://i.scdn.co/image/ab67616d0000b273e5412ddd80957ac4ed9d99b3","1","1","233397","https://p.scdn.co/mp3-preview/9b6b3749b7b465ec2ddd8e4159231d41e14602c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FRX201958557","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:2suBc3CvosERGZWbnhLJCz","Девушка моей мечты","spotify:artist:0OSIM2yf2s1hZasqgbEd44, spotify:artist:3X8dsiP9u1b439TcFeZfSp","Devran, Chanan","spotify:album:4hVclqfDUDM2Wz7xfdWejs","Девушка моей мечты","spotify:artist:0OSIM2yf2s1hZasqgbEd44","Devran","2019-02-21","https://i.scdn.co/image/ab67616d0000b273c4cdec7df5c56961c7b94308","1","1","226429","https://p.scdn.co/mp3-preview/aa3b18af5fea79c7ab850334041402f2c2c0adf3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","RUB421900231","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:55TYdavMK951y7WHfYpGmK","Фонтанчик с дельфином","spotify:artist:3ZOk6bDH8ORFWZUA4qvevR","Gio Pika","spotify:album:5Qaswtm4B6IHZJAUKkynuQ","Сборник Север, Часть 4","spotify:artist:3ZOk6bDH8ORFWZUA4qvevR","Gio Pika","2016-01-01","https://i.scdn.co/image/ab67616d0000b273551914dc22b7d3eeab0d505e","1","4","120006","https://p.scdn.co/mp3-preview/b673b234e393c4a8c67a52a7b2322338ef34cef4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","RUA1D1901850","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:0cTFPELD1TV8mbrmFDS6Lf","Acharuli (Kazus Remix)","spotify:artist:40vHXgGndxcyXs3NlGMHTf","Rosie_SD","spotify:album:1If0h4wiHgRLfUy8F9W92u","Acharuli (Kazus Remix)","spotify:artist:40vHXgGndxcyXs3NlGMHTf","Rosie_SD","2020-12-25","https://i.scdn.co/image/ab67616d0000b2730ee8f97700aa6478ea870bbf","1","1","138000","https://p.scdn.co/mp3-preview/d84231ff407ab895ffa6aaec4b779a6fff169bd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","AEA0D2077704","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
